Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_034;100.0;Well tested;0.053154706954956055;3;8;8;50.0
program_035;0.0;Weakly tested;0.015620708465576172;3;0;0;50.0
program_036;0.0;Weakly tested;0.022835731506347656;3;0;0;50.0
program_037;100.0;Well tested;0.024077892303466797;3;1;1;50.0
program_038;66.66666666666666;Weakly tested;0.03873324394226074;3;3;2;83.33
program_039;100.0;Well tested;0.026999711990356445;3;2;2;75.0
program_040;83.33333333333334;Well tested;0.054996490478515625;3;6;5;75.0
program_041;100.0;Well tested;0.2992722988128662;3;10;10;62.5
program_042;0.0;Weakly tested;0.014038562774658203;3;0;0;50.0
program_043;0.0;Weakly tested;0.013003349304199219;3;0;0;66.67
program_044;100.0;Well tested;0.0385594367980957;3;3;3;75.0
program_045;100.0;Well tested;0.052048444747924805;3;3;3;90.0
program_046;100.0;Well tested;0.05220484733581543;3;5;5;80.0
program_047;0.0;Weakly tested;0.016008615493774414;3;0;0;50.0
program_048;100.0;Well tested;0.05085110664367676;3;6;6;66.67
program_049;30.0;Weakly tested;0.08402085304260254;3;10;3;85.71
program_050;100.0;Well tested;0.02701115608215332;3;1;1;66.67
program_051;89.47368421052632;Well tested;0.3225443363189697;3;19;17;83.33
program_052;0.0;Weakly tested;0.015995025634765625;3;0;0;66.67
program_053;0.0;Weakly tested;0.011407613754272461;3;0;0;50.0
program_055;0.0;Weakly tested;0.015618085861206055;3;0;0;71.43
program_056;100.0;Well tested;0.03283095359802246;3;3;3;83.33
program_057;0.0;Weakly tested;0.029324054718017578;3;0;0;66.67
program_058;66.66666666666666;Weakly tested;0.07893610000610352;3;9;6;66.67
program_059;100.0;Well tested;0.03179216384887695;3;1;1;66.67
program_060;0.0;Weakly tested;0.0;3;0;0;66.67
program_061;0.0;Weakly tested;0.04618978500366211;3;1;0;80.0
program_062;0.0;Weakly tested;0.01683950424194336;3;0;0;66.67
program_063;100.0;Well tested;0.05362987518310547;3;1;1;83.33
program_064;33.33333333333333;Weakly tested;0.04839944839477539;3;3;1;66.67
program_065;82.35294117647058;Well tested;31.281495809555054;3;17;13;73.33
program_066;100.0;Well tested;0.03173255920410156;3;1;1;60.0
program_067;85.71428571428571;Well tested;0.05759787559509277;3;7;6;90.0
program_068;100.0;Well tested;0.06290364265441895;3;7;7;83.33
program_069;61.53846153846154;Weakly tested;0.7172167301177979;3;13;8;62.5
program_070;66.66666666666666;Weakly tested;0.03600120544433594;3;3;2;85.71
program_071;100.0;Well tested;0.10244369506835938;3;10;10;94.12
program_072;100.0;Well tested;0.03500032424926758;3;1;1;71.43
program_074;0.0;Weakly tested;0.012055158615112305;3;0;0;66.67
program_075;50.0;Weakly tested;0.031937360763549805;3;2;1;66.67
program_076;100.0;Well tested;0.03894472122192383;3;7;7;50.0
program_077;100.0;Well tested;0.05526137351989746;3;6;6;66.67
program_078;100.0;Well tested;0.03238868713378906;3;3;3;75.0
program_079;100.0;Well tested;0.05532240867614746;3;6;6;66.67
program_080;100.0;Well tested;0.04363870620727539;1;3;3;88.89
program_082;100.0;Well tested;0.03209519386291504;3;2;2;66.67
program_083;100.0;Well tested;0.029633283615112305;3;1;1;75.0
program_084;100.0;Well tested;0.04019665718078613;3;1;1;87.5
program_085;60.0;Weakly tested;5.137879133224487;3;20;11;85.71
program_086;100.0;Well tested;0.02596592903137207;3;1;1;66.67
program_087;100.0;Well tested;0.3061208724975586;3;5;5;75.0
program_088;100.0;Well tested;0.0599360466003418;3;11;11;50.0
program_089;80.0;Well tested;20.249366998672485;3;15;8;72.73
program_090;100.0;Well tested;0.05880403518676758;3;7;7;83.33
program_091;100.0;Well tested;0.06008648872375488;3;6;6;85.71
program_092;80.0;Well tested;15.166268587112427;3;10;5;75.0
program_093;100.0;Well tested;0.0351862907409668;3;3;3;83.33
program_094;100.0;Well tested;0.02415013313293457;3;2;2;80.0
program_095;100.0;Well tested;0.02107095718383789;3;3;3;50.0
program_096;100.0;Well tested;0.07855939865112305;3;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.038485050201416016;3;3;2;85.71
program_099;100.0;Well tested;5.067441463470459;3;4;3;83.33
